        size,          ops,         time,      op/time
      131072,     31248384,     0.076118,  4.10526e+08
      262144,     31248384,     0.085730,  3.64498e+08
      393216,     31248384,     0.099215,  3.14956e+08
      524288,     31244288,     0.115343,  2.70882e+08
      655360,     31242240,     0.118834,  2.62907e+08
      786432,     31248384,     0.118934,  2.62737e+08
      917504,     31238144,     0.118940,  2.62638e+08
     1048576,     31244288,     0.118949,   2.6267e+08
     1179648,     31242240,     0.119257,  2.61974e+08
     1310720,     31232000,     0.119221,  2.61967e+08
     1441792,     31246336,     0.119882,  2.60642e+08
     1572864,     31236096,     0.119016,  2.62453e+08
     1703936,     31229952,     0.119021,   2.6239e+08
     1835008,     31223808,     0.119147,  2.62061e+08
     1966080,     31242240,     0.119195,   2.6211e+08
     2097152,     31227904,     0.119724,  2.60832e+08
     2228224,     31229952,     0.119450,  2.61448e+08
     2359296,     31223808,     0.119629,  2.61005e+08
     2490368,     31246336,     0.119842,  2.60729e+08
     2621440,     31211520,     0.118863,  2.62584e+08
     2752512,     31223808,     0.119857,  2.60509e+08
     2883584,     31223808,     0.119802,  2.60628e+08
     3014656,     31229952,     0.120145,  2.59936e+08
     3145728,     31211520,     0.119875,  2.60367e+08
     3276800,     31232000,     0.119017,  2.62416e+08
     3407872,     31203328,     0.119148,  2.61887e+08
     3538944,     31242240,     0.119098,  2.62324e+08
     3670016,     31195136,     0.118928,  2.62303e+08
     3801088,     31240192,     0.119129,  2.62238e+08
     3932160,     31211520,     0.119848,  2.60426e+08
     4063232,     31236096,     0.119222,  2.61999e+08
     4194304,     31195136,     0.119074,  2.61981e+08
     4325376,     31223808,     0.119304,  2.61716e+08
     4456448,     31195136,     0.119360,  2.61353e+08
     4587520,     31180800,     0.119349,  2.61257e+08
     4718592,     31186944,     0.119417,   2.6116e+08
     4849664,     31219712,     0.119564,  2.61113e+08
     4980736,     31207424,     0.119562,  2.61015e+08
     5111808,     31229952,     0.119791,  2.60704e+08
     5242880,     31211520,     0.119062,  2.62145e+08
     5373952,     31236096,     0.119166,  2.62123e+08
     5505024,     31223808,     0.119865,  2.60491e+08
     5636096,     31174656,     0.119228,  2.61471e+08
     5767168,     31178752,     0.118989,  2.62031e+08
     5898240,     31242240,     0.119315,  2.61847e+08
     6029312,     31182848,     0.119184,  2.61636e+08
     6160384,     31186944,     0.119257,   2.6151e+08
     6291456,     31162368,     0.119105,  2.61638e+08
     6422528,     31209472,     0.119327,  2.61546e+08
     6553600,     31232000,     0.119579,  2.61183e+08
     6684672,     31229952,     0.119725,  2.60847e+08
     6815744,     31203328,     0.120134,  2.59738e+08
     6946816,     31152128,     0.119384,  2.60941e+08
     7077888,     31186944,     0.119495,   2.6099e+08
     7208960,     31201280,     0.119616,  2.60845e+08
     7340032,     31195136,     0.119105,  2.61913e+08
     7471104,     31168512,     0.119128,  2.61639e+08
     7602176,     31240192,     0.119357,  2.61737e+08
     7733248,     31174656,     0.119494,  2.60889e+08
     7864320,     31211520,     0.119374,   2.6146e+08
     7995392,     31232000,     0.119461,  2.61441e+08
     8126464,     31236096,     0.120912,  2.58337e+08
     8257536,     31223808,     0.119730,  2.60785e+08
